id,name,style,venue_id,date,end_date,start,end,price,payment,beginner_class,music,dj,band,organizer,url,description,status
swing-magnifique-scala-2026-06-13,Swing Magnifique / Scalateaterns foajébar,all,scala,2026-06-13,,19:00,22:00,,,,live,,Swing Magnifique,Swing Magnifique,https://www.swingmagnifique.com/gigs,Full fart framåt med Swing Magnifique på Scala!,ended
augustas-swing-saturdays-2026-06-13,Augustas Swing Saturdays,lindy-hop,augustas,2026-06-13,,16:00,19:00,,,,live,,Hus Band,Augustas Folksalong,https://www.instagram.com/p/DV3DKf9jAXH/,"Varmt välkomna till en eftermiddag fylld av sväng på Augustas Folksalong! Bandet består av fyra unga musiker som förenas i sin kärlek till melodisk och svängig jazz, utan några krusiduller. Vi får höra väl valda pärlor ur den amerikanska låtskatten, samt låtar av exempelvis Duke Ellington och Coleman Hawkins. Axel Lindgren – trumpet, Simon Kolmodin – gitarr, Olle Eklind – trombon, Johannes Bäckström – bas. Källarbyns konsertverksamhet stöds av Iceberg Sound Systems och Studieförbundet Bilda.",ended
sommarkrogen-2026-06-12,SommarKrogen,all,scala,2026-06-12,,21:00,00:00,,,,live,,,Lönnkrogen,https://www.facebook.com/events/1669663784254776,"SISTA Lönnkrogen inför sommaren, dvs kom! Dörrar kl 21, musik kl 22ish. Toalettbar osv. P+K",ended
lindyhop-arsta-2026-05-15,Lindyhop i Årsta,lindy-hop,arstaliden,2026-05-15,,18:00,22:00,80 kr,,,dj,Various,,Leo,https://www.arstablick.com/Lindyhop.html,"Förra sommaren hade vi vår första danskväll med Lindy Hop i Årsta. Många kom och det blev en underbar kväll. Vi fortsätter med dessa danskvällar under sommaren 2026.",ended
lindyhop-arsta-2026-05-29,Lindyhop i Årsta,lindy-hop,arstaliden,2026-05-29,,18:00,22:00,80 kr,,,dj,Various,,Leo,https://www.arstablick.com/Lindyhop.html,"Förra sommaren hade vi vår första danskväll med Lindy Hop i Årsta. Många kom och det blev en underbar kväll. Vi fortsätter med dessa danskvällar under sommaren 2026.",ended
lindyhop-arsta-2026-06-12,Lindyhop i Årsta,lindy-hop,arstaliden,2026-06-12,,18:00,22:00,80 kr,,,dj,Various,,Leo,https://www.arstablick.com/Lindyhop.html,"Förra sommaren hade vi vår första danskväll med Lindy Hop i Årsta. Många kom och det blev en underbar kväll. Vi fortsätter med dessa danskvällar under sommaren 2026.",ended
lindyhop-arsta-2026-06-26,Lindyhop i Årsta,lindy-hop,arstaliden,2026-06-26,,18:00,22:00,80 kr,,,dj,Various,,Leo,https://www.arstablick.com/Lindyhop.html,"Förra sommaren hade vi vår första danskväll med Lindy Hop i Årsta. Många kom och det blev en underbar kväll. Vi fortsätter med dessa danskvällar under sommaren 2026.",live
lindyhop-arsta-2026-08-07,Lindyhop i Årsta,lindy-hop,arstaliden,2026-08-07,,18:00,22:00,80 kr,,,dj,Various,,Leo,https://www.arstablick.com/Lindyhop.html,"Förra sommaren hade vi vår första danskväll med Lindy Hop i Årsta. Många kom och det blev en underbar kväll. Vi fortsätter med dessa danskvällar under sommaren 2026.",live
lindyhop-arsta-2026-08-21,Lindyhop i Årsta,lindy-hop,arstaliden,2026-08-21,,18:00,22:00,80 kr,,,dj,Various,,Leo,https://www.arstablick.com/Lindyhop.html,"Förra sommaren hade vi vår första danskväll med Lindy Hop i Årsta. Många kom och det blev en underbar kväll. Vi fortsätter med dessa danskvällar under sommaren 2026.",live
jesses-jazz-staclara-2026-06-15,Jesses Jazz Band,all,staclara,2026-06-15,,19:00,22:00,,,,live,,Jesses Jazz Band,S:ta Clara Bierhaus,https://www.staclara.se/calendar.html,"Jesses Jazz Band bjuder på svängig och dansvänlig New Orleans-jazz på anrika S:ta Clara Bierhaus i Gamla Stan. Spelglad traditionell jazz i en av Stockholms äldsta krogar.",ended
swing-magnifique-staclara-2026-06-17,Swing Magnifique,all,staclara,2026-06-17,,19:00,22:00,,,,live,,Swing Magnifique,Swing Magnifique,https://www.swingmagnifique.com/gigs,"Swing Magnifique spelar gypsy swing i Django Reinhardts och Stéphane Grappellis anda på S:ta Clara Bierhaus — virtuost, varmt och fullt av sväng.",ended
bandwagon-nomad-2026-06-18,The Bandwagon Swing Orchestra,all,nomad,2026-06-18,,19:00,22:00,,,,live,,The Bandwagon Swing Orchestra,Nomad,https://www.nomad.bar/,"The Bandwagon Swing Orchestra är ett nimannaband från Stockholm med en delad kärlek till jazz och swing. Dansvänlig storbandsswing på musikscenen Nomad.",ended
staclara-2026-06-29,Jesses Jazz Band,all,staclara,2026-06-29,,19:00,22:00,,,,live,,Jesses Jazz Band,S:ta Clara Bierhaus,https://www.staclara.se/calendar.html,Trad Jazz!,live
chicago-2026-08-26,Säsongspremiär + Öppet Hus – Chicago Live Wednesdays,all,chicago,2026-08-26,,18:00,23:00,,,,live,,,Chicago Swing Dance Studio,https://www.chicago75.se/evenemang/sasongspremiar-oppet-hus---chicago-live-wednesdays-2,,live
norrport-2026-06-18,Old Boy Stompers,all,norrport,2026-06-18,,19:00,22:00,,,,live,,Old Boy Stompers,Norrport,https://norrport.se/norrportlive/old-boy-stompers-2026-06-18/,,ended
midsummer-swing-2026-06-19,Midsummer Swing,all,knowhere,2026-06-19,,19:00,23:00,Free,,,live,,Fumblers,Founders,https://stockholmswing.com,,live
norrport-2026-06-25,Josefin's New Orleans Gang,all,norrport,2026-06-25,,19:00,22:00,,,,live,,Josefin's New Orleans Gang,Norrport,https://norrport.se/norrportlive/josefins-new-orleans-gang-2026-06-25/,,live
norrport-2026-06-27,Caroline Williams Blues & Soulfriends,blues,norrport,2026-06-27,,20:00,23:00,,,,live,,Caroline Williams Blues & Soulfriends,Norrport,https://norrport.se/norrportlive/caroline-williams-blues-soulfriends-2026-06-27/,,live
norrport-2026-07-02,Django Friends med Deri Rowlands,all,norrport,2026-07-02,,19:00,22:00,,,,live,,Django Friends med Deri Rowlands,Norrport,https://norrport.se/norrportlive/django-friends-med-deri-rowlands/,,live
norrport-2026-07-09,Josefin's New Orleans Gang,all,norrport,2026-07-09,,19:00,22:00,,,,live,,Josefin's New Orleans Gang,Norrport,https://norrport.se/norrportlive/josefins-new-orleans-gang/,,live
norrport-2026-07-15,Siberian Hotheads,all,norrport,2026-07-15,,19:00,22:00,,,,live,,Siberian Hotheads,Norrport,https://norrport.se/norrportlive/siberian-hotheads-2026-07-15/,,live
norrport-2026-07-16,Mercblecket Quintet,all,norrport,2026-07-16,,19:00,22:00,,,,live,,Mercblecket Quintet,Norrport,https://norrport.se/norrportlive/mercblecket-quintet/,,live
norrport-2026-07-23,Jazzkapellet,all,norrport,2026-07-23,,19:00,22:00,,,,live,,Jazzkapellet,Norrport,https://norrport.se/norrportlive/jazzkapellet/,,live
norrport-2026-07-30,South Station Stompers,all,norrport,2026-07-30,,19:00,22:00,,,,live,,South Station Stompers,Norrport,https://norrport.se/norrportlive/south-station-stompers/,,live
norrport-2026-08-06,Old Boy Stompers,all,norrport,2026-08-06,,19:00,22:00,,,,live,,Old Boy Stompers,Norrport,https://norrport.se/norrportlive/old-boy-stompers/,,live
norrport-2026-08-12,Moonbeam Serenaders,all,norrport,2026-08-12,,19:00,22:00,,,,live,,Moonbeam Serenaders,Norrport,https://norrport.se/norrportlive/moonbeam-serenaders/,,live
norrport-2026-08-13,Django Friends med Deri Rowlands,all,norrport,2026-08-13,,19:00,22:00,,,,live,,Django Friends med Deri Rowlands,Norrport,https://norrport.se/norrportlive/django-friends-med-deri-rowlands-2/,,live
norrport-2026-08-20,Tommy Löbel Swing Band,all,norrport,2026-08-20,,19:00,22:00,,,,live,,Tommy Löbel Swing Band,Norrport,https://norrport.se/norrportlive/tommy-lobel-swing-band/,,live
norrport-2026-08-26,Blue Tess,blues,norrport,2026-08-26,,19:00,22:00,,,,live,,Blue Tess,Norrport,https://norrport.se/norrportlive/blue-tess/,,live
norrport-2026-08-27,Josefin's New Orleans Gang,all,norrport,2026-08-27,,19:00,22:00,,,,live,,Josefin's New Orleans Gang,Norrport,https://norrport.se/norrportlive/josefins-new-orleans-gang-2/,,live
norrport-2026-09-05,Caroline Williams Blues & Soulfriends,blues,norrport,2026-09-05,,20:00,23:00,,,,live,,Caroline Williams Blues & Soulfriends,Norrport,https://norrport.se/norrportlive/caroline-williams-blues-soulfriends/,,live
norrport-2026-09-09,Ballin' the Jack,all,norrport,2026-09-09,,19:00,22:00,,,,live,,Ballin' the Jack,Norrport,https://norrport.se/norrportlive/ballin-the-jack/,,live
norrport-2026-09-23,Moonbeam Serenaders,all,norrport,2026-09-23,,19:00,22:00,,,,live,,Moonbeam Serenaders,Norrport,https://norrport.se/norrportlive/moonbeam-serenaders-2/,,live
norrport-2026-10-03,Caroline Williams Blues & Soulfriends,blues,norrport,2026-10-03,,20:00,23:00,,,,live,,Caroline Williams Blues & Soulfriends,Norrport,https://norrport.se/norrportlive/caroline-williams-blues-soulfriends-2/,,live
norrport-2026-10-13,Dr Rulles Jazzklinik,all,norrport,2026-10-13,,19:00,22:00,,,,live,,Dr Rulles Jazzklinik,Norrport,https://norrport.se/norrportlive/stockholm-jazzfestival-pa-norrport/,,live
